timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747329802674,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802676,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802676,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802678,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802679,5,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,5,0,0
1747329802678,6,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,6,0,0
1747329802684,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802684,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802686,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802686,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802688,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802688,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802690,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802690,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802692,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802693,1,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,1,0,0
1747329802693,2,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-2,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,2,0,0
1747329802694,7,User Activity Stats,200,OK,Statistics Endpoints Thread Group 1-1,text,true,,267,139,2,2,http://localhost:3001/api/stats/user-activity,6,0,0
